Time, Counts, LTA, Delta, Yaw, Pitch
2819.458,1172,1172,0,3.83,3.83
2823.445,1172,1172,0,3.85,3.85
2829.434,1172,1172,0,4.22,4.22
2832.426,1171,1172,1,3.59,3.59
2836.411,1172,1172,0,3.59,3.59
2843.411,1172,1172,0,-0.65,-0.65
2846.389,1171,1172,1,0.65,0.65
2850.373,1171,1172,1,-4.04,-4.04
2856.369,1170,1172,2,-14.48,-14.48
2861.344,1170,1172,2,5.23,5.23
2864.3360000000002,1169,1172,3,2.93,2.93
2868.325,1169,1172,3,14.43,14.43
2872.357,1170,1172,2,15.23,15.23
2876.342,1170,1172,2,16.16,16.16
2881.294,1171,1172,1,8.29,8.29
2885.286,1170,1172,2,11.27,11.27
2893.337,1169,1172,3,11.17,11.17
2938.139,1170,1172,2,12.53,12.53
2943.126,1170,1172,2,14.46,14.46
2947.119,1171,1172,1,4.42,4.42
2950.107,1171,1172,1,-3.36,-3.36
2956.1,1170,1172,2,1.77,1.77
2960.081,1170,1172,2,11.8,11.8
2967.068,1170,1172,2,7.91,7.91
2971.053,1172,1172,0,5.84,5.84
2974.05,1172,1172,0,3.02,3.02
2980.031,1170,1172,2,-0.72,-0.72
2983.053,1170,1172,2,2.39,2.39
2987.013,1172,1172,0,-1.18,-1.18
2993.014,1172,1172,0,0.39,0.39
2996.9809999999998,1172,1172,0,4.51,4.51
2999.973,1172,1172,0,7.88,7.88
3005.962,1171,1172,1,14.35,14.35
3011.941,1173,1172,-1,10.62,10.62
3033.886,1174,1172,-2,-0.22,-0.22
3043.876,1173,1172,-1,1.77,1.77
3064.804,1172,1172,0,8.39,8.39
3088.742,1171,1172,1,9.57,9.57
3111.675,1173,1172,-1,8.68,8.68
3127.637,1175,1172,-3,1.33,1.33
3147.579,1173,1172,-1,-3.44,-3.44
3165.531,1172,1172,0,0.23,0.23
3188.472,1172,1172,0,2.56,2.56
3207.463,1174,1172,-2,-13.1,-13.1
3230.364,1175,1172,-3,-14.58,-14.58
3248.309,1173,1172,-1,-4.69,-4.69
3278.229,1169,1172,3,11.13,11.13
3288.244,1171,1172,1,16.01,16.01
3307.152,1174,1172,-2,7.91,7.91
3323.11,1173,1172,-1,1.39,1.39
3349.108,1169,1172,3,7.89,7.89
3370.989,1168,1172,4,12.43,12.43
3383.953,1170,1172,2,6.17,6.17
3405.892,1171,1172,1,15.11,15.11
3426.848,1171,1172,1,-12.05,-12.05
3445.781,1169,1172,3,-17.22,-17.22
3464.735,1168,1172,4,-10.87,-10.87
3489.7,1165,1172,7,4.76,4.76
3507.652,1165,1172,7,13.5,13.5
3543.526,1167,1172,5,8.67,8.67
3547.515,1167,1172,5,-1.43,-1.43
3580.4210000000003,1165,1172,7,0.0,0.0
3585.406,1166,1172,6,2.49,2.49
3604.359,1166,1172,6,-4.71,-4.71
3622.309,1167,1172,5,-10.31,-10.31
3642.2619999999997,1166,1172,6,-11.08,-11.08
3661.2039999999997,1168,1172,4,-8.86,-8.86
3688.147,1168,1172,4,-4.45,-4.45
3700.1369999999997,1165,1172,7,-1.91,-1.91
3721.047,1169,1172,3,-13.47,-13.47
3738.998,1169,1172,3,-29.57,-29.57
3754.994,1167,1172,5,-36.89,-36.89
3777.893,1167,1172,5,-42.26,-42.26
3796.843,1166,1172,6,-36.82,-36.82
3819.782,1166,1172,6,-43.1,-43.1
3834.748,1166,1172,6,-34.46,-34.46
3848.707,1166,1172,6,-22.12,-22.12
3869.647,1162,1172,10,-39.08,-39.08
3883.609,1165,1172,7,-73.57,-73.57
3906.59,1165,1172,7,-80.74,-80.74
3920.513,1159,1172,13,-82.14,-82.14
3946.443,1154,1172,18,-75.26,-75.26
3961.404,1154,1172,18,-74.29,-74.29
3974.367,1156,1172,16,-82.08,-82.08
4000.298,1155,1172,17,-87.73,-87.73
4019.247,1152,1172,20,-89.84,-89.84
4042.185,1147,1172,25,-89.16,-89.16
4065.19,1146,1172,26,-76.04,-76.04
4084.075,1144,1172,28,-89.57,-89.57
4103.024,1142,1172,30,-80.84,-80.84
4123.967,1134,1172,38,-88.08,-88.08
4144.911,1128,1172,44,-78.72,-78.72
4186.799,1126,1172,46,-65.31,-65.31
4190.831,1118,1172,54,-84.2,-84.2
4219.715,1074,1172,98,-77.37,-77.37
4227.694,1044,1172,128,-73.75,-73.75
4248.633,1017,1172,155,-80.45,-80.45
4268.585,1001,1172,171,-69.76,-69.76
4287.531,991,1172,181,-73.4,-73.4
4316.459,985,1172,187,-68.95,-68.95
4330.414,983,1172,189,-60.76,-60.76
4351.359,981,1172,191,-56.25,-56.25
4370.308,979,1172,193,-61.66,-61.66
4392.25,977,1172,195,-60.44,-60.44
4411.199,976,1172,196,-61.65,-61.65
4432.147,973,1172,199,-53.26,-53.26
4452.09,972,1172,200,-51.68,-51.68
4473.04,971,1172,201,-59.52,-59.52
4490.989,970,1172,202,-44.08,-44.08
4512.93,967,1172,205,-50.6,-50.6
4538.914,964,1172,208,-43.9,-43.9
4552.818,964,1172,208,-47.13,-47.13
4587.728,964,1172,208,-49.42,-49.42
4601.6900000000005,963,1172,209,-55.59,-55.59
4618.643,961,1172,211,-52.39,-52.39
4636.596,961,1172,211,-46.6,-46.6
4660.552,959,1172,213,-43.53,-43.53
4679.482,957,1172,215,-37.29,-37.29
4696.438,955,1172,217,-41.36,-41.36
4717.379,952,1172,220,-42.03,-42.03
4742.3189999999995,948,1172,224,-41.48,-41.48
4756.275,943,1172,229,-39.05,-39.05
4782.209,939,1172,233,-34.56,-34.56
4831.121,936,1172,236,-41.7,-41.7
4836.0650000000005,934,1172,238,-47.79,-47.79
4858.006,931,1172,241,-42.81,-42.81
4863.986,930,1172,242,-42.74,-42.74
4884.004,929,1172,243,-44.32,-44.32
4904.887,929,1172,243,-40.49,-40.49
4917.844,928,1172,244,-52.75,-52.75
4939.831,926,1172,246,-41.84,-41.84
4962.765,924,1172,248,-48.61,-48.61
4979.719,923,1172,249,-49.42,-49.42
5004.614,922,1172,250,-43.37,-43.37
5024.559,921,1172,251,-41.81,-41.81
5040.515,921,1172,251,-41.31,-41.31
5064.451,921,1172,251,-41.29,-41.29
5080.407,922,1172,250,-40.87,-40.87
5102.349,920,1172,252,-43.56,-43.56
5126.29,920,1172,252,-41.73,-41.73
5142.244,920,1172,252,-39.51,-39.51
5159.196,919,1172,253,-45.37,-45.37
5181.139,918,1172,254,-42.99,-42.99
5203.079,917,1172,255,-42.88,-42.88
5221.0380000000005,917,1172,255,-44.24,-44.24
5243.994,917,1172,255,-43.11,-43.11
5260.926,917,1172,255,-39.1,-39.1
5281.869,916,1172,256,-49.32,-49.32
5301.818,915,1172,257,-45.01,-45.01
5322.761,914,1172,258,-39.94,-39.94
5342.718,913,1172,259,-41.73,-41.73
5383.6,914,1172,258,-37.93,-37.93
5391.586,914,1172,258,-39.89,-39.89
5404.542,912,1172,260,-49.63,-49.63
5420.498,911,1172,261,-43.64,-43.64
5459.398,910,1172,262,-34.76,-34.76
5468.37,910,1172,262,-41.48,-41.48
5498.293,910,1172,262,-49.13,-49.13
5509.262,909,1172,263,-43.01,-43.01
5524.229,906,1172,266,-22.19,-22.19
5544.169,905,1172,267,-50.54,-50.54
5563.116,907,1172,265,-48.36,-48.36
5586.103,907,1172,265,-38.44,-38.44
5613.046,904,1172,268,-42.28,-42.28
5623.967,904,1172,268,-44.84,-44.84
5643.904,906,1172,266,-46.25,-46.25
5663.853,907,1172,265,-38.46,-38.46
5681.798,905,1172,267,-37.96,-37.96
5705.739,904,1172,268,-41.93,-41.93
5732.731,905,1172,267,-43.37,-43.37
5748.624,905,1172,267,-45.55,-45.55
